English,Russian
part,часть
history,история
search,поиск
only,только
police,полиция
thought,мысль
help,помощь
request,запрос
kind,добрый
month,месяц
brother,брат
let,позволять
because,потому что
to put,класть
no,нет
leash,поводка
them,их
city,город
each,каждый
speak,говорить
come,приходить
should,должен
baby,малыш
long time,много времени
hours,часы
will,воля
while,пока
meet again,Встретимся снова
any,любой
square,квадрат
speak,говорить
understood,понял
knew,знал
were,были
Warning,Предупреждение
here is,Вот
could,мог
case,случай
give,давать
type,тип
their,их
given,данный
train,тренироваться
body,тело
place,место
eyes,глаза
way,способ
listen,слушать
whose,чей
find,находить
first,первый
lost,потерянный
hand,рука
first,первый
side,сторона
power,власть
old,старый
be,быть
here,здесь
morning,утро
so much,так много
child,ребенок
point,точка
came,пришел
after,после
sorry,извини
come,приходить
in front of,перед
towards,к
minutes,минуты
request,запрос
bedroom,Спальня
placed,размещенный
beautiful,красивый
law,закон
would like to,хотел бы
today,сегодня
husband,муж
cause,причина
finally,окончательно
hope,надеяться
water,вода
Wait,Ждать
left,левый
new,новый
job,работа
Stop,Останавливаться
would say,сказал бы
Earth,Земля
account,счет
given,данный
far,далеко
end,конец
believe,полагать
sweetheart,дорогой
large,большой
rather,скорее
will have,будет
girls,девушки
to play,играть
office,офис
